"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","x"
"https://www.guinnessworldrecords.com/world-records/116617-fastest-marathon-in-highland-dress-male","Fastest marathon in highland dress (male)","3 hr 20 min 13 sec",3,20,13,"3:20:13","full",12013,0.980807145647225
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-wedding-dress-(male)","Fastest marathon in a wedding dress (male)","2 hr 49 min 17 sec",2,49,17,"2:49:17","full",10157,1.02495446469529
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-wedding-dress","Fastest marathon in a wedding dress (female)","3 hr 16 min 44 sec",3,16,44,"3:16:44","full",11804,0.914359128832539
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-by-a-mascot-(female)","Fastest marathon by a mascot (female)","3 hr 58 min 57 sec",3,58,57,"3:58:57","full",14337,1.12195077871467
"https://www.guinnessworldrecords.com/world-records/577393-fastest-marathon-in-a-toga-male","Fastest marathon in a toga (male)","2 hr 56 min 34 sec",2,56,34,"2:56:34","full",10594,0.979895047591479
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-superhero-costume-(female)","Fastest marathon in superhero costume (female)","2 hr 48 min 51 sec",2,48,51,"2:48:51","full",10131,1
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-four-person-costume","Fastest marathon in a four-person costume","4 hr 3 min 18 sec",4,3,18,"4:03:18","full",14598,1.02485089279278
"https://www.guinnessworldrecords.com/world-records/508842-fastest-marathon-in-a-six-person-costume","Fastest marathon in a six-person costume","5 hr 59 min 33 sec",5,59,33,"5:59:33","full",21573,1
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-superhero-costume-(male)","Fastest marathon in superhero costume (male)","2 hr 27 min 43 sec",2,27,43,"2:27:43","full",8863,1
"https://www.guinnessworldrecords.com/world-records/370406-fastest-marathon-in-a-two-person-costume","Fastest marathon in a two-person costume","3 hr 25 min 17 sec",3,25,17,"3:25:17","full",12317,0.999287740679796
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-nurses-uniform-(female)","Fastest marathon in a nurse's uniform (female)","3 hr 8 min 22 sec",3,8,22,"3:08:22","full",11302,1.04490717569933
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-nurses-uniform-(male)","Fastest marathon in a nurse's uniform (male)","2 hr 45 min 37 sec",2,45,37,"2:45:37","full",9937,0.912158577712846
"https://www.guinnessworldrecords.com/world-records/79711-fastest-marathon-in-a-two-person-pantomime-costume","Fastest marathon in a two-person pantomime costume","4 hr 35 min and 4 sec",4,35,4,"4:35:04","full",16504,1
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-film-character-costume-(male)","Fastest marathon in film character costume (male)","2 hr 36 min 28 sec",2,36,28,"2:36:28","full",9388,1
