"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","outfit","last_update"
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-postman","Fastest marathon dressed as a postal worker","3 hr 45 min 06 sec",3,45,6,"3:45:06","full",13506,"postal worker",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-in-a-police-uniform","Fastest marathon dressed in a police uniform","3 hr 09 min 52 sec",3,9,52,"3:09:52","full",11392,"police uniform",2020-09-06
"https://www.guinnessworldrecords.com/world-records/375245-fastest-marathon-dressed-as-a-caveman-male","Fastest marathon dressed as a caveperson (male)","3 hrs 05 min 11 sec",3,5,11,"3:05:11","full",11111,"caveperson (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/430675-fastest-marathon-dressed-as-a-chef-female","Fastest marathon dressed as a chef (female)","4 hr 54 min 49 sec",4,54,49,"4:54:49","full",17689,"chef (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/100077-fastest-marathon-dressed-in-a-sari","Fastest marathon dressed in a sari (female)","3 hr 57 min 7 sec",3,57,7,"3:57:07","full",14227,"sari (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/411176-fastest-marathon-dressed-as-an-aircraft-male","Fastest marathon dressed as a three dimensional aircraft (male)","5 hrs 3 min 15 sec",5,3,15,"5:03:15","full",18195,"three dimensional aircraft (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-santa-claus-(female)","Fastest marathon dressed as Santa Claus (female)","3 hr 43 min 20 sec",3,43,20,"3:43:20","full",13400,"Santa Claus (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/96049-fastest-marathon-dressed-as-a-book-character-female","Fastest marathon dressed as a book character (female)","3 hr 08 min 34 sec",3,8,34,"3:08:34","full",11314,"book character (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-roman-soldier","Fastest marathon dressed as a Roman soldier (male)","2 hr 57 min",2,57,0,"2:57:00","full",10620,"Roman soldier (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/457263-fastest-marathon-dressed-as-a-traffic-cone-male","Fastest marathon dressed as a traffic cone (male)","3 hr 45 min 26 sec",3,45,26,"3:45:26","full",13526,"traffic cone (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/461811-fastest-marathon-dressed-as-a-lucha-libre-wrestler-male","Fastest marathon dressed as a Lucha libre wrestler (male)","3 hrs 24 min 15 sec",3,24,15,"3:24:15","full",12255,"Lucha libre wrestler (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/446552-fastest-marathon-dressed-as-a-tennis-player-male","Fastest marathon dressed as a tennis player (male)","3 hr 5 min 30 sec",3,5,30,"3:05:30","full",11130,"tennis player (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/449021-fastest-marathon-dressed-as-a-gingerbread-man-female","Fastest marathon dressed as a gingerbread person (female)","3 hrs 46 min 55 sec",3,46,55,"3:46:55","full",13615,"gingerbread person (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/103393-fastest-marathon-dressed-as-a-videogame-character-female","Fastest marathon dressed as a videogame character (female)","3 hr 56 min 18 sec",3,56,18,"3:56:18","full",14178,"videogame character (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-tapfaucet-(male)","Fastest marathon dressed as a tap/faucet (male)","3 hr 29 min 55 sec",3,29,55,"3:29:55","full",12595,"tap/faucet (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/465340-fastest-marathon-dressed-as-a-three-dimensional-toy-male","Fastest marathon dressed as a three dimensional toy (male)","4 hr 59 min 30 sec",4,59,30,"4:59:30","full",17970,"three dimensional toy (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/114765-fastest-marathon-dressed-as-a-medical-instrument","Fastest marathon dressed as a piece of medical equipment (male)","3 hrs 48 min 9 sec",3,48,9,"3:48:09","full",13689,"piece of medical equipment (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/415096-fastest-marathon-dressed-as-a-circus-strongman-male","Fastest marathon dressed as a circus strongperson (male)","3 hr 19 min 30 sec",3,19,30,"3:19:30","full",11970,"circus strongperson (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/589789-fastest-marathon-dressed-as-a-three-dimensional-shoe-male","Fastest marathon dressed as a three dimensional shoe (male)","3 hr 54 min 17 sec",3,54,17,"3:54:17","full",14057,"three dimensional shoe (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-book-character","Fastest marathon dressed as a book character (male)","2 hr 42 min 17 sec",2,42,17,"2:42:17","full",9737,"book character (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/499560-fastest-marathon-dressed-as-a-stationery-item-male","Fastest marathon dressed as a stationery item (male)","3 hr 33 min 13 sec",3,33,13,"3:33:13","full",12793,"stationery item (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/556558-fastest-marathon-dressed-as-an-astronomical-body-male","Fastest marathon dressed as an astronomical body (male)","3 hr 52 min 40 sec",3,52,40,"3:52:40","full",13960,"astronomical body (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/534584-fastest-marathon-dressed-as-a-stationery-item-female","Fastest marathon dressed as a stationery item (female)","3 hr 54 min 25 sec",3,54,25,"3:54:25","full",14065,"stationery item (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/497436-fastest-marathon-dressed-as-a-hospital-patient-male","Fastest marathon dressed as a hospital patient (male)","3 hr 40 min 38 sec",3,40,38,"3:40:38","full",13238,"hospital patient (male)",2020-09-06
